year,ai_value,unemployment_value
2023,5.4,
2023,5.4,2.6
2023,5.4,1.4
2023,5.4,0.6
2023,5.4,
2023,5.4,2.9
2023,5.4,1.4
2023,5.4,0.6
2023,5.4,
2023,5.4,2.1
2023,5.4,1.4
2023,5.4,0.5
2023,5.4,
2023,5.4,
2023,5.4,1.4
2023,5.4,
2023,5.4,
2023,5.4,
2023,5.4,1.4
2023,5.4,
2023,5.4,
2023,5.4,
2023,5.4,
2023,5.4,
2023,5.4,
2023,5.4,4.0
2023,5.4,1.5
2023,5.4,0.5
2023,5.4,
2023,5.4,4.0
2023,5.4,1.5
2023,5.4,0.5
2023,5.4,
2023,5.4,
2023,5.4,1.5
2023,5.4,0.5
2023,5.4,
2023,5.4,2.0
2023,5.4,1.2
2023,5.4,0.9
2023,5.4,
2023,5.4,2.1
2023,5.4,
2023,5.4,
2023,5.4,
2023,5.4,
2023,5.4,1.4
2023,5.4,
2023,17.8,
2023,17.8,2.6
2023,17.8,1.4
2023,17.8,0.6
2023,17.8,
2023,17.8,2.9
2023,17.8,1.4
2023,17.8,0.6
2023,17.8,
2023,17.8,2.1
2023,17.8,1.4
2023,17.8,0.5
2023,17.8,
2023,17.8,
2023,17.8,1.4
2023,17.8,
2023,17.8,
2023,17.8,
2023,17.8,1.4
2023,17.8,
2023,17.8,
2023,17.8,
2023,17.8,
2023,17.8,
2023,17.8,
2023,17.8,4.0
2023,17.8,1.5
2023,17.8,0.5
2023,17.8,
2023,17.8,4.0
2023,17.8,1.5
2023,17.8,0.5
2023,17.8,
2023,17.8,
2023,17.8,1.5
2023,17.8,0.5
2023,17.8,
2023,17.8,2.0
2023,17.8,1.2
2023,17.8,0.9
2023,17.8,
2023,17.8,2.1
2023,17.8,
2023,17.8,
2023,17.8,
2023,17.8,
2023,17.8,1.4
2023,17.8,
2023,36.5,
2023,36.5,2.6
2023,36.5,1.4
2023,36.5,0.6
2023,36.5,
2023,36.5,2.9
2023,36.5,1.4
2023,36.5,0.6
2023,36.5,
2023,36.5,2.1
2023,36.5,1.4
2023,36.5,0.5
2023,36.5,
2023,36.5,
2023,36.5,1.4
2023,36.5,
2023,36.5,
2023,36.5,
2023,36.5,1.4
2023,36.5,
2023,36.5,
2023,36.5,
2023,36.5,
2023,36.5,
2023,36.5,
2023,36.5,4.0
2023,36.5,1.5
2023,36.5,0.5
2023,36.5,
2023,36.5,4.0
2023,36.5,1.5
2023,36.5,0.5
2023,36.5,
2023,36.5,
2023,36.5,1.5
2023,36.5,0.5
2023,36.5,
2023,36.5,2.0
2023,36.5,1.2
2023,36.5,0.9
2023,36.5,
2023,36.5,2.1
2023,36.5,
2023,36.5,
2023,36.5,
2023,36.5,
2023,36.5,1.4
2023,36.5,
2024,12.0,
2024,12.0,1.9
2024,12.0,1.3
2024,12.0,0.6
2024,12.0,
2024,12.0,1.7
2024,12.0,1.3
2024,12.0,0.6
2024,12.0,
2024,12.0,2.2
2024,12.0,1.3
2024,12.0,0.6
2024,12.0,
2024,12.0,
2024,12.0,1.4
2024,12.0,
2024,12.0,
2024,12.0,
2024,12.0,1.6
2024,12.0,
2024,12.0,
2024,12.0,
2024,12.0,
2024,12.0,
2024,12.0,
2024,12.0,2.9
2024,12.0,1.3
2024,12.0,0.5
2024,12.0,
2024,12.0,2.9
2024,12.0,1.1
2024,12.0,0.5
2024,12.0,
2024,12.0,
2024,12.0,1.4
2024,12.0,0.6
2024,12.0,
2024,12.0,1.3
2024,12.0,1.2
2024,12.0,0.7
2024,12.0,
2024,12.0,
2024,12.0,
2024,12.0,
2024,12.0,
2024,12.0,
2024,12.0,
2024,12.0,
2024,25.1,
2024,25.1,1.9
2024,25.1,1.3
2024,25.1,0.6
2024,25.1,
2024,25.1,1.7
2024,25.1,1.3
2024,25.1,0.6
2024,25.1,
2024,25.1,2.2
2024,25.1,1.3
2024,25.1,0.6
2024,25.1,
2024,25.1,
2024,25.1,1.4
2024,25.1,
2024,25.1,
2024,25.1,
2024,25.1,1.6
2024,25.1,
2024,25.1,
2024,25.1,
2024,25.1,
2024,25.1,
2024,25.1,
2024,25.1,2.9
2024,25.1,1.3
2024,25.1,0.5
2024,25.1,
2024,25.1,2.9
2024,25.1,1.1
2024,25.1,0.5
2024,25.1,
2024,25.1,
